ITEM ID,ITEM_CODE,TASK NAME,TASK DESCRIPTION,SHOP TYPE,VEHICLE_SIZE,CATEGORY,SECTION,LTS,MRP,SEVERITY,DISSASSEMBLY_STAGE,BODY_REPAIR_STAGE,PAINT_PREP_STAGE,PAINT_SPRAY_STAGE,PRE_ASSEMBLY_STAGE,PAINT_CUTTING_STAGE,FINAL_ASSEMBLY_STAGE,POLISH_STAGE,TOTAL_STAGE_TIME
100336,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Large,Bodyshop,Body Repair,,1400,Light,15,90,0,0,30,0,30,0,165
100337,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Small,Bodyshop,Body Repair,,1750,Medium,30,90,0,0,30,0,60,0,210
100338,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Medium,Bodyshop,Body Repair,,1900,Medium,30,110,0,0,30,0,60,0,230
100339,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Large,Bodyshop,Body Repair,,2000,Medium,30,120,0,0,30,0,60,0,240
100340,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Small,Bodyshop,Body Repair,,2400,Severe,45,120,0,0,30,0,90,0,285
100341,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Medium,Bodyshop,Body Repair,,2500,Severe,45,135,0,0,30,0,90,0,300
100342,BS-DNT-SMR,DENT REPAIR - SIDE MIRROR HOUSING RH,,Bodyshop,Large,Bodyshop,Body Repair,,2600,Severe,45,150,0,0,30,0,90,0,315
100343,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Small,Bodyshop,Body Repair,,1000,Light,10,60,0,0,25,0,25,0,120
100344,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Medium,Bodyshop,Body Repair,,1100,Light,10,70,0,0,25,0,25,0,130
100345,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Large,Bodyshop,Body Repair,,1100,Light,10,75,0,0,25,0,25,0,135
100346,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Small,Bodyshop,Body Repair,,1450,Medium,25,75,0,0,25,0,50,0,175
100347,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Medium,Bodyshop,Body Repair,,1600,Medium,25,95,0,0,25,0,50,0,195
100348,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Large,Bodyshop,Body Repair,,1650,Medium,25,100,0,0,25,0,50,0,200
100349,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Small,Bodyshop,Body Repair,,2000,Severe,40,100,0,0,25,0,75,0,240
100350,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Medium,Bodyshop,Body Repair,,2100,Severe,40,110,0,0,25,0,75,0,250
100351,BS-DNT-APL,DENT REPAIR - A-PILLAR LH,,Bodyshop,Large,Bodyshop,Body Repair,,2200,Severe,40,125,0,0,25,0,75,0,265
100352,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Small,Bodyshop,Body Repair,,1000,Light,10,60,0,0,25,0,25,0,120
100353,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Medium,Bodyshop,Body Repair,,1100,Light,10,70,0,0,25,0,25,0,130
100354,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Large,Bodyshop,Body Repair,,1100,Light,10,75,0,0,25,0,25,0,135
100355,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Small,Bodyshop,Body Repair,,1450,Medium,25,75,0,0,25,0,50,0,175
100356,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Medium,Bodyshop,Body Repair,,1600,Medium,25,95,0,0,25,0,50,0,195
100357,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Large,Bodyshop,Body Repair,,1650,Medium,25,100,0,0,25,0,50,0,200
100358,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Small,Bodyshop,Body Repair,,2000,Severe,40,100,0,0,25,0,75,0,240
100359,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Medium,Bodyshop,Body Repair,,2100,Severe,40,110,0,0,25,0,75,0,250
100360,BS-DNT-APR,DENT REPAIR - A-PILLAR RH,,Bodyshop,Large,Bodyshop,Body Repair,,2200,Severe,40,125,0,0,25,0,75,0,265
100361,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Small,Bodyshop,Body Repair,,1250,Light,15,75,0,0,30,0,30,0,150
100362,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Medium,Bodyshop,Body Repair,,1300,Light,15,80,0,0,30,0,30,0,155
100363,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Large,Bodyshop,Body Repair,,1400,Light,15,90,0,0,30,0,30,0,165
100364,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Small,Bodyshop,Body Repair,,1750,Medium,30,90,0,0,30,0,60,0,210
100365,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Medium,Bodyshop,Body Repair,,1900,Medium,30,110,0,0,30,0,60,0,230
100366,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Large,Bodyshop,Body Repair,,2000,Medium,30,120,0,0,30,0,60,0,240
100367,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Small,Bodyshop,Body Repair,,2400,Severe,45,120,0,0,30,0,90,0,285
100368,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Medium,Bodyshop,Body Repair,,2500,Severe,45,135,0,0,30,0,90,0,300
100369,BS-DNT-BPL,DENT REPAIR - B-PILLAR LH,,Bodyshop,Large,Bodyshop,Body Repair,,2600,Severe,45,150,0,0,30,0,90,0,315
100370,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Small,Bodyshop,Body Repair,,1250,Light,15,75,0,0,30,0,30,0,150
100371,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Medium,Bodyshop,Body Repair,,1300,Light,15,80,0,0,30,0,30,0,155
100372,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Large,Bodyshop,Body Repair,,1400,Light,15,90,0,0,30,0,30,0,165
100373,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Small,Bodyshop,Body Repair,,1750,Medium,30,90,0,0,30,0,60,0,210
100374,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Medium,Bodyshop,Body Repair,,1900,Medium,30,110,0,0,30,0,60,0,230
100375,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Large,Bodyshop,Body Repair,,2000,Medium,30,120,0,0,30,0,60,0,240
100376,BS-DNT-BPR,DENT REPAIR - B-PILLAR RH,,Bodyshop,Small,Bodyshop,Body Repair,,2400,Severe,45,120,0,0,30,0,90,0,285
